Running Brodnik (C++) Stack Test...
AC - T1_push_random_then_pop | Wall: 0.013487s | CPU User: 0.000000s | CPU Sys: 0.001308s | Max Memory: 692224B
AC - T1_push_then_random | Wall: 0.011647s | CPU User: 0.001296s | CPU Sys: 0.000000s | Max Memory: 679936B
AC - T1_random | Wall: 0.012285s | CPU User: 0.001034s | CPU Sys: 0.000000s | Max Memory: 659456B
AC - T1_random_then_pop | Wall: 0.014101s | CPU User: 0.001356s | CPU Sys: 0.000000s | Max Memory: 696320B
AC - T2_push_random_then_pop | Wall: 0.013369s | CPU User: 0.001163s | CPU Sys: 0.000000s | Max Memory: 659456B
AC - T2_push_then_random | Wall: 0.013721s | CPU User: 0.001175s | CPU Sys: 0.000000s | Max Memory: 1949696B
AC - T2_random | Wall: 0.014619s | CPU User: 0.001310s | CPU Sys: 0.000000s | Max Memory: 1953792B
AC - T2_random_then_pop | Wall: 0.012846s | CPU User: 0.001134s | CPU Sys: 0.000000s | Max Memory: 696320B
AC - T3_push_random_then_pop | Wall: 0.023533s | CPU User: 0.002097s | CPU Sys: 0.000000s | Max Memory: 1945600B
AC - T3_push_then_random | Wall: 0.025538s | CPU User: 0.002281s | CPU Sys: 0.000000s | Max Memory: 1966080B
AC - T3_random | Wall: 0.025049s | CPU User: 0.002420s | CPU Sys: 0.000000s | Max Memory: 1978368B
AC - T3_random_then_pop | Wall: 0.022397s | CPU User: 0.002108s | CPU Sys: 0.000000s | Max Memory: 1921024B
AC - T4_push_random_then_pop | Wall: 0.066485s | CPU User: 0.009587s | CPU Sys: 0.000000s | Max Memory: 1929216B
AC - T4_push_then_random | Wall: 0.101423s | CPU User: 0.007802s | CPU Sys: 0.003901s | Max Memory: 1978368B
AC - T4_random | Wall: 0.075159s | CPU User: 0.011699s | CPU Sys: 0.000000s | Max Memory: 1953792B
AC - T4_random_then_pop | Wall: 0.063335s | CPU User: 0.009161s | CPU Sys: 0.000000s | Max Memory: 1916928B
AC - T5_push_random_then_pop | Wall: 0.532971s | CPU User: 0.069240s | CPU Sys: 0.017310s | Max Memory: 3989504B
AC - T5_push_then_random | Wall: 0.612766s | CPU User: 0.056950s | CPU Sys: 0.045560s | Max Memory: 4202496B
AC - T5_random | Wall: 0.608605s | CPU User: 0.083357s | CPU Sys: 0.020839s | Max Memory: 4038656B
AC - T5_random_then_pop | Wall: 0.473767s | CPU User: 0.069038s | CPU Sys: 0.011506s | Max Memory: 3969024B
AC - T6_push_random_then_pop | Wall: 4.926705s | CPU User: 0.652634s | CPU Sys: 0.200811s | Max Memory: 10051584B
AC - T6_push_then_random | Wall: 6.136464s | CPU User: 0.753509s | CPU Sys: 0.255034s | Max Memory: 11399168B
AC - T6_random | Wall: 6.028701s | CPU User: 0.783279s | CPU Sys: 0.234083s | Max Memory: 11403264B
AC - T6_random_then_pop | Wall: 4.822629s | CPU User: 0.542705s | CPU Sys: 0.242279s | Max Memory: 9375744B
AC - T7_push_random_then_pop | Wall: 52.015954s | CPU User: 6.135443s | CPU Sys: 2.406260s | Max Memory: 70164480B
AC - T7_push_then_random | Wall: 60.910444s | CPU User: 7.535922s | CPU Sys: 2.578354s | Max Memory: 83591168B
AC - T7_random | Wall: 70.349173s | CPU User: 7.736197s | CPU Sys: 2.896011s | Max Memory: 83591168B
AC - T7_random_then_pop | Wall: 52.674645s | CPU User: 5.907082s | CPU Sys: 2.084254s | Max Memory: 63565824B
AC - T8_push_random_then_pop | Wall: 565.404629s | CPU User: 65.119183s | CPU Sys: 22.289452s | Max Memory: 670777344B
AC - T8_push_then_random | Wall: 638.255333s | CPU User: 74.629175s | CPU Sys: 26.945300s | Max Memory: 804134912B
AC - T8_random | Wall: 637.001067s | CPU User: 74.978352s | CPU Sys: 26.485493s | Max Memory: 804175872B
AC - T8_random_then_pop | Wall: 495.180532s | CPU User: 58.334730s | CPU Sys: 20.681213s | Max Memory: 604082176B
Running Brodnik (C) Stack Test...
AC - T1_push_random_then_pop | Wall: 0.011533s | CPU User: 0.000731s | CPU Sys: 0.000000s | Max Memory: 1011712B
AC - T1_push_then_random | Wall: 0.006447s | CPU User: 0.000546s | CPU Sys: 0.000000s | Max Memory: 1060864B
AC - T1_random | Wall: 0.006138s | CPU User: 0.000567s | CPU Sys: 0.000000s | Max Memory: 942080B
AC - T1_random_then_pop | Wall: 0.006327s | CPU User: 0.000560s | CPU Sys: 0.000000s | Max Memory: 1003520B
AC - T2_push_random_then_pop | Wall: 0.006707s | CPU User: 0.000623s | CPU Sys: 0.000000s | Max Memory: 942080B
AC - T2_push_then_random | Wall: 0.006828s | CPU User: 0.000610s | CPU Sys: 0.000000s | Max Memory: 970752B
AC - T2_random | Wall: 0.006880s | CPU User: 0.000609s | CPU Sys: 0.000000s | Max Memory: 962560B
AC - T2_random_then_pop | Wall: 0.006763s | CPU User: 0.000610s | CPU Sys: 0.000000s | Max Memory: 958464B
AC - T3_push_random_then_pop | Wall: 0.011427s | CPU User: 0.001125s | CPU Sys: 0.000000s | Max Memory: 987136B
AC - T3_push_then_random | Wall: 0.012481s | CPU User: 0.001131s | CPU Sys: 0.000000s | Max Memory: 987136B
AC - T3_random | Wall: 0.013293s | CPU User: 0.001151s | CPU Sys: 0.000000s | Max Memory: 1007616B
AC - T3_random_then_pop | Wall: 0.011410s | CPU User: 0.001003s | CPU Sys: 0.000000s | Max Memory: 991232B
AC - T4_push_random_then_pop | Wall: 0.058748s | CPU User: 0.005298s | CPU Sys: 0.000000s | Max Memory: 1007616B
AC - T4_push_then_random | Wall: 0.068708s | CPU User: 0.006152s | CPU Sys: 0.000000s | Max Memory: 958464B
AC - T4_random | Wall: 0.070024s | CPU User: 0.006604s | CPU Sys: 0.000000s | Max Memory: 962560B
AC - T4_random_then_pop | Wall: 0.056348s | CPU User: 0.005346s | CPU Sys: 0.000000s | Max Memory: 1007616B
AC - T5_push_random_then_pop | Wall: 0.528830s | CPU User: 0.028570s | CPU Sys: 0.019047s | Max Memory: 2080768B
AC - T5_push_then_random | Wall: 0.592500s | CPU User: 0.014403s | CPU Sys: 0.043209s | Max Memory: 2256896B
AC - T5_random | Wall: 0.592545s | CPU User: 0.056349s | CPU Sys: 0.000000s | Max Memory: 2330624B
AC - T5_random_then_pop | Wall: 0.462630s | CPU User: 0.029279s | CPU Sys: 0.014639s | Max Memory: 2101248B
AC - T6_push_random_then_pop | Wall: 5.263081s | CPU User: 0.242842s | CPU Sys: 0.242842s | Max Memory: 8318976B
AC - T6_push_then_random | Wall: 5.735848s | CPU User: 0.242245s | CPU Sys: 0.337036s | Max Memory: 9461760B
AC - T6_random | Wall: 5.548031s | CPU User: 0.264522s | CPU Sys: 0.319632s | Max Memory: 9662464B
AC - T6_random_then_pop | Wall: 4.430979s | CPU User: 0.242802s | CPU Sys: 0.204464s | Max Memory: 7503872B
AC - T7_push_random_then_pop | Wall: 51.574951s | CPU User: 2.439062s | CPU Sys: 2.357420s | Max Memory: 68407296B
AC - T7_push_then_random | Wall: 60.771138s | CPU User: 2.716922s | CPU Sys: 3.076514s | Max Memory: 81690624B
AC - T7_random | Wall: 60.981984s | CPU User: 2.922204s | CPU Sys: 2.844721s | Max Memory: 81690624B
AC - T7_random_then_pop | Wall: 46.437026s | CPU User: 2.238695s | CPU Sys: 2.278143s | Max Memory: 61747200B
AC - T8_push_random_then_pop | Wall: 506.502464s | CPU User: 23.960494s | CPU Sys: 24.401292s | Max Memory: 668692480B
AC - T8_push_then_random | Wall: 595.417239s | CPU User: 28.523398s | CPU Sys: 28.398977s | Max Memory: 802136064B
AC - T8_random | Wall: 596.800348s | CPU User: 29.647222s | CPU Sys: 27.663854s | Max Memory: 802287616B
AC - T8_random_then_pop | Wall: 467.400963s | CPU User: 22.811522s | CPU Sys: 21.774158s | Max Memory: 602087424B
Running STL Stack Deque (C++) Stack Test...
AC - T1_push_random_then_pop | Wall: 0.022382s | CPU User: 0.001435s | CPU Sys: 0.000000s | Max Memory: 1986560B
AC - T1_push_then_random | Wall: 0.007573s | CPU User: 0.000000s | CPU Sys: 0.001155s | Max Memory: 1929216B
AC - T1_random | Wall: 0.007492s | CPU User: 0.001076s | CPU Sys: 0.000000s | Max Memory: 1978368B
AC - T1_random_then_pop | Wall: 0.007537s | CPU User: 0.001059s | CPU Sys: 0.000000s | Max Memory: 1929216B
AC - T2_push_random_then_pop | Wall: 0.008318s | CPU User: 0.001180s | CPU Sys: 0.000000s | Max Memory: 1982464B
AC - T2_push_then_random | Wall: 0.008303s | CPU User: 0.001160s | CPU Sys: 0.000000s | Max Memory: 2039808B
AC - T2_random | Wall: 0.008364s | CPU User: 0.001178s | CPU Sys: 0.000000s | Max Memory: 1916928B
AC - T2_random_then_pop | Wall: 0.008354s | CPU User: 0.001124s | CPU Sys: 0.000000s | Max Memory: 1974272B
AC - T3_push_random_then_pop | Wall: 0.014660s | CPU User: 0.001956s | CPU Sys: 0.000000s | Max Memory: 1974272B
AC - T3_push_then_random | Wall: 0.014869s | CPU User: 0.002205s | CPU Sys: 0.000000s | Max Memory: 2015232B
AC - T3_random | Wall: 0.014842s | CPU User: 0.002113s | CPU Sys: 0.000000s | Max Memory: 1929216B
AC - T3_random_then_pop | Wall: 0.014988s | CPU User: 0.002568s | CPU Sys: 0.000000s | Max Memory: 1949696B
AC - T4_push_random_then_pop | Wall: 0.065899s | CPU User: 0.010129s | CPU Sys: 0.000000s | Max Memory: 1978368B
AC - T4_push_then_random | Wall: 0.076669s | CPU User: 0.011770s | CPU Sys: 0.000000s | Max Memory: 1925120B
AC - T4_random | Wall: 0.076999s | CPU User: 0.000000s | CPU Sys: 0.011828s | Max Memory: 1925120B
AC - T4_random_then_pop | Wall: 0.061653s | CPU User: 0.000000s | CPU Sys: 0.009329s | Max Memory: 1925120B
AC - T5_push_random_then_pop | Wall: 0.591837s | CPU User: 0.058871s | CPU Sys: 0.039247s | Max Memory: 3952640B
AC - T5_push_then_random | Wall: 0.688083s | CPU User: 0.096535s | CPU Sys: 0.009653s | Max Memory: 4075520B
AC - T5_random | Wall: 0.691264s | CPU User: 0.093957s | CPU Sys: 0.011744s | Max Memory: 4071424B
AC - T5_random_then_pop | Wall: 0.535219s | CPU User: 0.062372s | CPU Sys: 0.020791s | Max Memory: 3768320B
AC - T6_push_random_then_pop | Wall: 5.782718s | CPU User: 0.664531s | CPU Sys: 0.233484s | Max Memory: 10223616B
AC - T6_push_then_random | Wall: 6.651709s | CPU User: 0.698400s | CPU Sys: 0.349200s | Max Memory: 11452416B
AC - T6_random | Wall: 6.760441s | CPU User: 0.815042s | CPU Sys: 0.243575s | Max Memory: 11415552B
AC - T6_random_then_pop | Wall: 5.079184s | CPU User: 0.638600s | CPU Sys: 0.180937s | Max Memory: 9441280B
AC - T7_push_random_then_pop | Wall: 55.475187s | CPU User: 6.822137s | CPU Sys: 2.143541s | Max Memory: 72916992B
AC - T7_push_then_random | Wall: 65.694237s | CPU User: 7.791234s | CPU Sys: 2.694949s | Max Memory: 87044096B
AC - T7_random | Wall: 66.275926s | CPU User: 8.049890s | CPU Sys: 2.427903s | Max Memory: 87097344B
AC - T7_random_then_pop | Wall: 51.876178s | CPU User: 6.144903s | CPU Sys: 2.012986s | Max Memory: 66011136B
AC - T8_push_random_then_pop | Wall: 568.345172s | CPU User: 68.165182s | CPU Sys: 21.574669s | Max Memory: 703299584B
AC - T8_push_then_random | Wall: 674.945339s | CPU User: 77.678353s | CPU Sys: 27.124168s | Max Memory: 842924032B
AC - T8_random | Wall: 651.941652s | CPU User: 78.691921s | CPU Sys: 26.680038s | Max Memory: 843010048B
AC - T8_random_then_pop | Wall: 498.372308s | CPU User: 61.343219s | CPU Sys: 20.534980s | Max Memory: 634576896B
Running STL Stack Vector (C++) Stack Test...
AC - T1_push_random_then_pop | Wall: 0.010275s | CPU User: 0.001284s | CPU Sys: 0.000000s | Max Memory: 696320B
AC - T1_push_then_random | Wall: 0.007065s | CPU User: 0.001089s | CPU Sys: 0.000000s | Max Memory: 507904B
AC - T1_random | Wall: 0.007115s | CPU User: 0.001095s | CPU Sys: 0.000000s | Max Memory: 700416B
AC - T1_random_then_pop | Wall: 0.006759s | CPU User: 0.001059s | CPU Sys: 0.000000s | Max Memory: 1929216B
AC - T2_push_random_then_pop | Wall: 0.008934s | CPU User: 0.001378s | CPU Sys: 0.000000s | Max Memory: 1925120B
AC - T2_push_then_random | Wall: 0.008531s | CPU User: 0.001406s | CPU Sys: 0.000000s | Max Memory: 1921024B
AC - T2_random | Wall: 0.008552s | CPU User: 0.001360s | CPU Sys: 0.000000s | Max Memory: 1978368B
AC - T2_random_then_pop | Wall: 0.007628s | CPU User: 0.001153s | CPU Sys: 0.000000s | Max Memory: 1966080B
AC - T3_push_random_then_pop | Wall: 0.012868s | CPU User: 0.001960s | CPU Sys: 0.000000s | Max Memory: 1961984B
AC - T3_push_then_random | Wall: 0.013918s | CPU User: 0.002095s | CPU Sys: 0.000000s | Max Memory: 1982464B
AC - T3_random | Wall: 0.014094s | CPU User: 0.002111s | CPU Sys: 0.000000s | Max Memory: 1982464B
AC - T3_random_then_pop | Wall: 0.012527s | CPU User: 0.001872s | CPU Sys: 0.000000s | Max Memory: 1925120B
AC - T4_push_random_then_pop | Wall: 0.061615s | CPU User: 0.004998s | CPU Sys: 0.004997s | Max Memory: 3518464B
AC - T4_push_then_random | Wall: 0.071797s | CPU User: 0.011488s | CPU Sys: 0.000000s | Max Memory: 3608576B
AC - T4_random | Wall: 0.072948s | CPU User: 0.011507s | CPU Sys: 0.000000s | Max Memory: 3485696B
AC - T4_random_then_pop | Wall: 0.057578s | CPU User: 0.000000s | CPU Sys: 0.009032s | Max Memory: 1957888B
AC - T5_push_random_then_pop | Wall: 0.559732s | CPU User: 0.055212s | CPU Sys: 0.036808s | Max Memory: 4128768B
AC - T5_push_then_random | Wall: 1.002594s | CPU User: 0.071123s | CPU Sys: 0.035562s | Max Memory: 4354048B
AC - T5_random | Wall: 0.651034s | CPU User: 0.104811s | CPU Sys: 0.000000s | Max Memory: 4337664B
AC - T5_random_then_pop | Wall: 0.507228s | CPU User: 0.054699s | CPU Sys: 0.027349s | Max Memory: 4087808B
AC - T6_push_random_then_pop | Wall: 5.533407s | CPU User: 0.611332s | CPU Sys: 0.272748s | Max Memory: 10264576B
AC - T6_push_then_random | Wall: 6.724776s | CPU User: 0.813557s | CPU Sys: 0.227040s | Max Memory: 11280384B
AC - T6_random | Wall: 6.283088s | CPU User: 0.661616s | CPU Sys: 0.358376s | Max Memory: 12337152B
AC - T6_random_then_pop | Wall: 5.118560s | CPU User: 0.616583s | CPU Sys: 0.186138s | Max Memory: 12238848B
AC - T7_push_random_then_pop | Wall: 55.182865s | CPU User: 6.637116s | CPU Sys: 2.063401s | Max Memory: 70455296B
AC - T7_push_then_random | Wall: 64.326737s | CPU User: 7.635169s | CPU Sys: 2.658860s | Max Memory: 134959104B
AC - T7_random | Wall: 65.149020s | CPU User: 7.770512s | CPU Sys: 2.554151s | Max Memory: 137383936B
AC - T7_random_then_pop | Wall: 49.027487s | CPU User: 5.932658s | CPU Sys: 2.007216s | Max Memory: 71520256B
AC - T8_push_random_then_pop | Wall: 545.792881s | CPU User: 65.273586s | CPU Sys: 22.715128s | Max Memory: 1075625984B
AC - T8_push_then_random | Wall: 658.699536s | CPU User: 76.364208s | CPU Sys: 27.027280s | Max Memory: 1076838400B
AC - T8_random | Wall: 677.852216s | CPU User: 77.751196s | CPU Sys: 27.016618s | Max Memory: 1075707904B
AC - T8_random_then_pop | Wall: 513.460072s | CPU User: 59.346835s | CPU Sys: 20.646133s | Max Memory: 1077223424B
Running STL Stack List (C++) Stack Test...
AC - T1_push_random_then_pop | Wall: 0.008647s | CPU User: 0.001296s | CPU Sys: 0.000000s | Max Memory: 671744B
AC - T1_push_then_random | Wall: 0.007062s | CPU User: 0.001073s | CPU Sys: 0.000000s | Max Memory: 692224B
AC - T1_random | Wall: 0.007320s | CPU User: 0.001076s | CPU Sys: 0.000000s | Max Memory: 663552B
AC - T1_random_then_pop | Wall: 0.007860s | CPU User: 0.001354s | CPU Sys: 0.000000s | Max Memory: 1925120B
AC - T2_push_random_then_pop | Wall: 0.008825s | CPU User: 0.001508s | CPU Sys: 0.000000s | Max Memory: 1929216B
AC - T2_push_then_random | Wall: 0.009050s | CPU User: 0.000000s | CPU Sys: 0.001416s | Max Memory: 1953792B
AC - T2_random | Wall: 0.008560s | CPU User: 0.001431s | CPU Sys: 0.000000s | Max Memory: 2039808B
AC - T2_random_then_pop | Wall: 0.007935s | CPU User: 0.001147s | CPU Sys: 0.000000s | Max Memory: 1957888B
AC - T3_push_random_then_pop | Wall: 0.013025s | CPU User: 0.002126s | CPU Sys: 0.000000s | Max Memory: 1966080B
AC - T3_push_then_random | Wall: 0.014437s | CPU User: 0.000000s | CPU Sys: 0.002369s | Max Memory: 2039808B
AC - T3_random | Wall: 0.014382s | CPU User: 0.002301s | CPU Sys: 0.000000s | Max Memory: 1978368B
AC - T3_random_then_pop | Wall: 0.012631s | CPU User: 0.002181s | CPU Sys: 0.000000s | Max Memory: 1916928B
AC - T4_push_random_then_pop | Wall: 0.060786s | CPU User: 0.012702s | CPU Sys: 0.000000s | Max Memory: 3715072B
AC - T4_push_then_random | Wall: 0.075795s | CPU User: 0.014131s | CPU Sys: 0.000000s | Max Memory: 3747840B
AC - T4_random | Wall: 0.075662s | CPU User: 0.013770s | CPU Sys: 0.000000s | Max Memory: 3686400B
AC - T4_random_then_pop | Wall: 0.059174s | CPU User: 0.010686s | CPU Sys: 0.000000s | Max Memory: 3751936B
AC - T5_push_random_then_pop | Wall: 0.611505s | CPU User: 0.064730s | CPU Sys: 0.043154s | Max Memory: 8613888B
AC - T5_push_then_random | Wall: 0.696266s | CPU User: 0.091739s | CPU Sys: 0.035284s | Max Memory: 9773056B
AC - T5_random | Wall: 0.688877s | CPU User: 0.115908s | CPU Sys: 0.009659s | Max Memory: 9715712B
AC - T5_random_then_pop | Wall: 0.535430s | CPU User: 0.082480s | CPU Sys: 0.014996s | Max Memory: 8093696B
AC - T6_push_random_then_pop | Wall: 5.754189s | CPU User: 0.802951s | CPU Sys: 0.249565s | Max Memory: 56430592B
AC - T6_push_then_random | Wall: 6.912668s | CPU User: 1.015022s | CPU Sys: 0.239314s | Max Memory: 67219456B
AC - T6_random | Wall: 6.794167s | CPU User: 1.040021s | CPU Sys: 0.192178s | Max Memory: 67207168B
AC - T6_random_then_pop | Wall: 5.279162s | CPU User: 0.735012s | CPU Sys: 0.226158s | Max Memory: 51331072B
AC - T7_push_random_then_pop | Wall: 57.939603s | CPU User: 7.971176s | CPU Sys: 2.687635s | Max Memory: 536621056B
AC - T7_push_then_random | Wall: 67.953072s | CPU User: 9.315268s | CPU Sys: 3.065534s | Max Memory: 643534848B
AC - T7_random | Wall: 68.801890s | CPU User: 9.584220s | CPU Sys: 3.020544s | Max Memory: 643063808B
AC - T7_random_then_pop | Wall: 52.968233s | CPU User: 7.415704s | CPU Sys: 2.327104s | Max Memory: 483266560B
AC - T8_push_random_then_pop | Wall: 582.370579s | CPU User: 79.520981s | CPU Sys: 27.178449s | Max Memory: 5336670208B
AC - T8_push_then_random | Wall: 694.763943s | CPU User: 94.664722s | CPU Sys: 32.225024s | Max Memory: 6403182592B
AC - T8_random | Wall: 691.303642s | CPU User: 96.306508s | CPU Sys: 31.568024s | Max Memory: 6403092480B
AC - T8_random_then_pop | Wall: 535.676209s | CPU User: 73.789907s | CPU Sys: 24.656627s | Max Memory: 4803313664B
Running Brodnik (C++) Sort Test...
