Running Brodnik (C++) Stack Test...
AC - T7_push_random_then_pop | Wall: 7.313727s | CPU User: 7.216339s | CPU Sys: 0.095998s | Max Memory: 70254592B
AC - T7_random | Wall: 8.243581s | CPU User: 8.146229s | CPU Sys: 0.096001s | Max Memory: 83623936B
AC - T2_random_then_pop | Wall: 0.004802s | CPU User: 0.001080s | CPU Sys: 0.003240s | Max Memory: 2490368B
AC - T4_random | Wall: 0.011664s | CPU User: 0.010308s | CPU Sys: 0.001030s | Max Memory: 3538944B
AC - T2_push_random_then_pop | Wall: 0.002530s | CPU User: 0.000742s | CPU Sys: 0.001485s | Max Memory: 393216B
AC - T5_push_then_random | Wall: 0.088527s | CPU User: 0.086162s | CPU Sys: 0.002004s | Max Memory: 4063232B
AC - T1_random | Wall: 0.001839s | CPU User: 0.000766s | CPU Sys: 0.000766s | Max Memory: 2359296B
AC - T8_random | Wall: 82.073662s | CPU User: 81.326535s | CPU Sys: 0.746019s | Max Memory: 804126720B
AC - T4_push_then_pop | Wall: 0.007631s | CPU User: 0.006152s | CPU Sys: 0.001025s | Max Memory: 3407872B
AC - T7_push_then_random | Wall: 8.198032s | CPU User: 8.095455s | CPU Sys: 0.100010s | Max Memory: 83492864B
AC - T6_push_random_then_pop | Wall: 1.027174s | CPU User: 1.007319s | CPU Sys: 0.019010s | Max Memory: 10092544B
AC - T8_random_then_pop | Wall: 63.645532s | CPU User: 63.093831s | CPU Sys: 0.545895s | Max Memory: 604110848B
AC - T5_push_random_then_pop | Wall: 0.071275s | CPU User: 0.069618s | CPU Sys: 0.000995s | Max Memory: 4063232B
AC - T4_push_then_random | Wall: 0.019019s | CPU User: 0.016405s | CPU Sys: 0.002051s | Max Memory: 3538944B
AC - T3_random | Wall: 0.003188s | CPU User: 0.001871s | CPU Sys: 0.000935s | Max Memory: 3407872B
AC - T8_push_random_then_pop | Wall: 70.181398s | CPU User: 69.597511s | CPU Sys: 0.577021s | Max Memory: 670826496B
AC - T7_random_then_pop | Wall: 6.570193s | CPU User: 6.479325s | CPU Sys: 0.088993s | Max Memory: 63438848B
AC - T3_push_then_pop | Wall: 0.006959s | CPU User: 0.003192s | CPU Sys: 0.003193s | Max Memory: 917504B
AC - T7_push_then_pop | Wall: 5.693351s | CPU User: 5.648780s | CPU Sys: 0.043000s | Max Memory: 43646976B
AC - T1_push_then_pop | Wall: 0.004455s | CPU User: 0.001011s | CPU Sys: 0.003033s | Max Memory: 917504B
AC - T5_random | Wall: 0.093227s | CPU User: 0.091815s | CPU Sys: 0.000998s | Max Memory: 4063232B
AC - T6_push_then_pop | Wall: 0.573178s | CPU User: 0.567554s | CPU Sys: 0.004996s | Max Memory: 7471104B
AC - T5_random_then_pop | Wall: 0.074650s | CPU User: 0.069098s | CPU Sys: 0.005007s | Max Memory: 4063232B
AC - T1_push_random_then_pop | Wall: 0.004179s | CPU User: 0.001922s | CPU Sys: 0.001923s | Max Memory: 524288B
AC - T2_push_then_random | Wall: 0.003893s | CPU User: 0.001806s | CPU Sys: 0.001805s | Max Memory: 393216B
AC - T1_random_then_pop | Wall: 0.004162s | CPU User: 0.000948s | CPU Sys: 0.002844s | Max Memory: 1703936B
AC - T3_push_then_random | Wall: 0.006471s | CPU User: 0.004721s | CPU Sys: 0.001180s | Max Memory: 3407872B
AC - T6_push_then_random | Wall: 1.278241s | CPU User: 1.260784s | CPU Sys: 0.015998s | Max Memory: 11534336B
AC - T2_push_then_pop | Wall: 0.004563s | CPU User: 0.002013s | CPU Sys: 0.002013s | Max Memory: 1703936B
AC - T3_random_then_pop | Wall: 0.006808s | CPU User: 0.005335s | CPU Sys: 0.001067s | Max Memory: 3407872B
AC - T1_push_then_random | Wall: 0.002357s | CPU User: 0.000960s | CPU Sys: 0.000960s | Max Memory: 1703936B
AC - T3_push_random_then_pop | Wall: 0.004326s | CPU User: 0.002983s | CPU Sys: 0.000995s | Max Memory: 3276800B
AC - T6_random_then_pop | Wall: 0.644131s | CPU User: 0.632566s | CPU Sys: 0.011010s | Max Memory: 9437184B
AC - T5_push_then_pop | Wall: 0.061351s | CPU User: 0.060709s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T4_push_random_then_pop | Wall: 0.009101s | CPU User: 0.006802s | CPU Sys: 0.001943s | Max Memory: 3538944B
AC - T8_push_then_pop | Wall: 57.336213s | CPU User: 56.864566s | CPU Sys: 0.470019s | Max Memory: 403832832B
AC - T6_random | Wall: 0.824303s | CPU User: 0.816524s | CPU Sys: 0.006996s | Max Memory: 11534336B
